Date;Para;Codigo;Rollos;Metros
22/02/24;Para Venta;Sijia - Blue 18oz Fabric;1;50
27/02/24;Para Fabrica;Sijia - 1500D;2;100
27/02/24;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
27/02/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
27/02/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
01/03/24;Para Fabrica;Sijia - Black 18oz Fabric;1;50
01/03/24;Para Fabrica;Sijia - Green 18oz Fabric;2;100
01/03/24;Para Fabrica;TPU 7mm;3;102
05/03/24;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
08/03/24;Para Fabrica;Sijia - Azul/Naranja;4;200
08/03/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
08/03/24;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
13/03/24;Para Fabrica;Sijia - 1500D;1;49
13/03/24;Para Fabrica;Sijia - Azul/Naranja;2;164
14/03/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
14/03/24;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
14/03/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
22/03/24;Para Fabrica;Mesh Blanco;2;100
22/03/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
22/03/24;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
22/03/24;Para Fabrica;Sijia - Red 18oz Fabric;2;116
22/03/24;Para Venta;Sijia - Rosa 18oz Fabric;1;50
11/04/24;Para Fabrica;Sijia - Black 18oz Fabric;1;50
11/04/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
16/04/24;Para Fabrica;Mesh Negro;2;100
16/04/24;Para Fabrica;Sijia - Azul/Naranja;1;50
16/04/24;Para Fabrica;Sijia - Gris/Blanco;2;111
19/04/24;Para Fabrica;Sijia - Grey 18oz Fabric;1;50
25/04/24;Ingreso Contenedor;Dropstich 20cm;17;994
25/04/24;Ingreso Contenedor;Lona Impresi—n;13;624
25/04/24;Ingreso Contenedor;Mesh Negro;59;2909
25/04/24;Ingreso Contenedor;Sijia - 1500D;59;2922
25/04/24;Ingreso Contenedor;Sijia - Azul/Naranja;82;3744
25/04/24;Ingreso Contenedor;Sijia - Blue 18oz Fabric;66;3295
25/04/24;Ingreso Contenedor;Sijia - Cyan 18oz Fabric;30;1467
25/04/24;Ingreso Contenedor;Sijia - Green 18oz Fabric;69;3409
25/04/24;Ingreso Contenedor;Sijia - Gris/Blanco;54;2490
25/04/24;Ingreso Contenedor;Sijia - Orange 18oz Fabric;29;1416
25/04/24;Ingreso Contenedor;Sijia - Purple 18oz Fabric;66;3275
25/04/24;Ingreso Contenedor;Sijia - Red 18oz Fabric;70;3494
25/04/24;Ingreso Contenedor;Sijia - White Az Slide Fabric;7;350
25/04/24;Ingreso Contenedor;Sijia - Yellow 18oz Fabric;71;3464
25/04/24;Ingreso Contenedor;TPU 7mm;20;1000
26/04/24;Para Fabrica;Dropstich 20cm;1;60
06/05/24;Para Fabrica;Mesh Negro;2;100
06/05/24;Para Fabrica;Sijia - 1500D;1;50
06/05/24;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
06/05/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
06/05/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
06/05/24;Para Fabrica;Sijia - Rosa 18oz Fabric;4;200
06/05/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
08/05/24;Para Venta;Sijia - Rosa 18oz Fabric;1;50
17/05/24;Para Fabrica;Mesh Negro;1;50
17/05/24;Para Fabrica;Sijia - 1500D;1;50
17/05/24;Para Fabrica;Sijia - Azul/Naranja;3;150
17/05/24;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
17/05/24;Para Fabrica;Sijia - Gris/Blanco;3;150
17/05/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
24/05/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
24/05/24;Para Fabrica;TPU 7mm;2;100
28/05/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
10/06/24;Para Fabrica;Mesh Negro;2;100
10/06/24;Para Fabrica;Sijia - 1500D;1;50
10/06/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
10/06/24;Para Fabrica;Sijia - Green 18oz Fabric;3;150
10/06/24;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
10/06/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
21/06/24;Para Fabrica;Dropstich 20cm;1;60
25/06/24;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
28/06/24;Para Fabrica;Sijia - Azul/Naranja;3;150
01/07/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
15/07/24;Para Fabrica;Mesh Negro;2;100
15/07/24;Para Fabrica;Sijia - 1500D;2;100
15/07/24;Para Fabrica;Sijia - Green 18oz Fabric;3;150
15/07/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
24/07/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
24/07/24;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
24/07/24;Para Fabrica;Sijia - Red 18oz Fabric;2;100
24/07/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
24/07/24;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
25/07/24;Para Venta;Sijia - Orange 18oz Fabric;1;50
01/08/24;Para Fabrica;Sijia - Azul/Naranja;1;60
01/08/24;Para Fabrica;Sijia - Azul/Naranja;3;150
01/08/24;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
01/08/24;Para Fabrica;Sijia - White Az Slide Fabric;1;50
05/08/24;Para Fabrica;Mesh Negro;2;100
05/08/24;Para Fabrica;Sijia - Gris/Blanco;2;100
06/08/24;Para Fabrica;Mesh Negro;2;100
